IssueID,Repo,Number(sequence No. in the current repo),TDType,QA
457429443,zuzakistan/civilservant,286,Design TD,Performance efficiency
413019078,zooniverse/caesar,629,Infrastructure TD,Maintainability 
169799993,zerogerc/loudly,41,Design TD,Usability
384386523,zerobandwidth-net/android,58,Architectural TD,Reliability
550706227,Yoast/wordpress-seo,14218,designTD,Maintainability
402586022,Yoast/wordpress-seo,12095,Design TD,Reliability
349784656,yesmar/rm,4,Documentation TD,Usability 
43595475,Workiva/wGulp,39,Architectural TD,Maintainability
51133312,wordpress-mobile/WordPress-Editor-iOS,440,Design TD,Maintainability
775784978,woocommerce/woocommerce-ios,3413,Design TD,Usability
570995309,woocommerce/woocommerce-ios,1899,Code TD,Maintainability
553898948,woocommerce/woocommerce-ios,1765,Test TD,Maintainability
546829592,woocommerce/woocommerce-ios,1709,Design TD,Functional suitability
748145661,wishlists/wishlists,107,Architectural TD,Maintainability
54794682,willia4/bookclub,24,Architectural TD,Maintainability
422889183,WikiWatershed/model-my-watershed,3100,Architectural TD,Maintainability
161620616,WebApiContrib/WebAPIContrib.Core,26,Architectural TD,Maintainability
512468663,weaveworks/ui-components,491,Architectural TD,Maintainability
131635285,weaveworks/scope,934,Architectural TD,Maintainability
105773729,weaveworks/scope,475,Build TD,Maintainability
104501193,weaveworks/scope,427,Test TD,Reliability
428031496,weaveworks/eksctl,692,Design TD,Maintainability
473254062,weaveworks/eksctl,1065,Design,Maintainability
197792352,wangshuangkc/CHED-Talks,31,Design TD,Maintainability 
619401976,rapidsai/cudf,5211,Code TD,Maintainability
478557600,VowpalWabbit/vowpal_wabbit,2004,Design TD,Reliability
476965226,VowpalWabbit/vowpal_wabbit,1991,Architectural TD,Maintainability
440810738,VowpalWabbit/vowpal_wabbit,1863,Design TD,Maintainability
443883107,vmware/terraform-provider-vcd,239,Design TD,Functional suitability
360506637,vkoves/carpe,337,Infrastructure TD,Maintainability
648748064,VirtusLab/git-machete-intellij-plugin,394,Design TD,Maintainability
549606537,VirtusLab/git-machete-intellij-plugin,38,Infrastructure TD,Maintainability
351727599,veteransaffairscanada/vac-benefits-directory,951,Design TD,Usability
90790091,vertical-knowledge/ripozo,23,Design TD,Maintainability
233651937,uspgamedev/ugdk,63,Code TD,Reliability
131116137,ushahidi/platform,885,Test TD,Maintainability
102579191,ushahidi/platform,505,Test TD,Maintainability
360972819,ushahidi/platform,3295,Defect TD,Reliability
311703863,ushahidi/platform,2701,Design TD,Usability 
255051811,ushahidi/platform,2036,Defect TD,Reliability
222928200,ushahidi/platform,1703,Code TD,Usability
226284694,usgs/earthquake-hazard-tool,248,Test TD,Maintainability
613391608,UPchieve/web,411,Architectural TD,Maintainability
522585234,UPchieve/web,273,Test TD,Maintainability
649110375,unitaryfund/mitiq,224,Defect TD,Reliability
658492877,unfoldingWord/tc-create-app,220,Design TD,Performance efficiency
570824083,UMAprotocol/protocol,969,Architectural TD,Reliability
567612595,UMAprotocol/protocol,941,Architectural TD,Maintainability
350315267,tsoding/ray-tracer,47,Infrastructure TD,Compatibility
293863250,trimox/angular-mdc-web,593,Design TD,Maintainability
58478952,travi/php-framework,91,Infrastructure TD,Portability
522193679,tranquilitybase-io/tb-gcp,33,Test TD,Maintainability
479020175,tracim/tracim,2186,Design TD,Maintainability
376763913,tracim/tracim,1104,Design TD,Maintainability
449180693,todorm85/Sf-PoSh,52,Defect TD,Reliability
412276767,todorm85/Sf-PoSh,23,Defect TD,Reliability
277547594,thomaswilburn/Caret,612,Design TD,Functional suitability
143016392,TheThingsNetwork/ttn,86,Design TD,Maintainability
218759758,TheThingsNetwork/ttn,543,Architectural TD,Functional suitability
