Repository,No. of resolved TD issues
microsoft/vscode,1493
envoyproxy/envoy,269
hashicorp/terraform-provider-aws,245
owncloud/core,229
php-coder/mystamps,208
refinery-platform/refinery-platform,202
DataBiosphere/azul,200
sourcegraph/sourcegraph,191
department-of-veterans-affairs/va.gov-team,183
openfoodfoundation/openfoodnetwork,182
telefonicaid/fiware-cygnus,177
telefonicaid/fiware-orion,168
ManageIQ/manageiq,162
desktop/desktop,160
GoogleCloudPlatform/google-cloud-eclipse,153
ushahidi/platform,129
apache/trafficcontrol,120
ianstormtaylor/slate,110
elastic/kibana,109
mirumee/saleor,106
bcgov/entity,103
nfluxdata/influxdb,103
elifesciences/elife-xpub,100
opencollective/opencollective,100
